Depth (m),Temperature ( C),Salinity (PSU),Density (kg/m^3),PAR/Irradiance (uE/m^2/s,Fluorescence (mg/m^3),Turbidity (NTU),Beam (1/m),Oxygen (umol/kg),Oxygen (%sat)
2.539,13.8001,31.6233,23.6198,8.1090e+02,1.9914,0.0017,7.3592,231.033,88.92515
2.61,13.7976,31.6235,23.6204,7.7837e+02,2.031,0.0017,7.3283,231.641,89.1548
2.681,13.7776,31.6329,23.6317,7.5706e+02,2.2004,0.0015,7.3401,232.524,89.46416
2.76,13.7581,31.6289,23.6325,7.3195e+02,2.2004,0.0015,7.352,233.008,89.61236
2.832,13.7607,31.6271,23.6307,7.4036e+02,2.2004,0.0018,7.3532,232.911,89.57865
2.9,13.7671,31.6235,23.6265,6.8156e+02,2.2012,0.0018,7.3537,232.529,89.44133
2.956,13.7618,31.6259,23.6295,6.6535e+02,2.2119,0.0016,7.3485,232.033,89.24257
3.017,13.7603,31.6283,23.6317,6.5021e+02,2.2134,0.0016,7.3622,231.527,89.0467
3.094,13.7645,31.6245,23.6279,6.3096e+02,2.2729,0.0016,7.3786,231.377,88.99403
3.178,13.7542,31.63,23.6342,6.0864e+02,2.2874,0.0016,7.3477,231.549,89.04524
3.257,13.7783,31.6201,23.6217,5.6405e+02,2.2203,0.0015,7.337,232.117,89.30096
3.317,13.7757,31.6228,23.6243,5.7698e+02,2.1882,0.0015,7.3433,232.649,89.5025
3.371,13.7664,31.6268,23.6293,5.6455e+02,2.25,0.0016,7.3429,232.735,89.52123
3.44,13.7532,31.6291,23.6337,5.2632e+02,2.3004,0.0016,7.3422,232.285,89.32587
3.525,13.7556,31.6273,23.6319,5.2808e+02,2.2943,0.0015,7.3366,231.869,89.16914
3.613,13.743,31.6318,23.6378,4.9790e+02,2.2874,0.0015,7.3342,231.972,89.18877
3.689,13.731,31.6313,23.6399,4.8469e+02,2.3026,0.0016,7.3414,232.863,89.50934
3.751,13.7526,31.6153,23.6232,4.7944e+02,2.337,0.0018,7.3421,234.021,89.98346
3.818,13.7641,31.6275,23.6303,4.5956e+02,2.3644,0.0018,7.3426,234.571,90.22388
3.9,13.7516,31.6285,23.6335,4.3927e+02,2.4972,0.0018,7.3386,234.918,90.33479
3.986,13.7617,31.6241,23.6282,4.3627e+02,2.4964,0.0018,7.3356,234.809,90.30874
4.068,13.7524,31.6272,23.6324,4.1452e+02,2.4728,0.0019,7.342,234.577,90.20456
4.147,13.7495,31.6281,23.6337,4.0253e+02,2.4728,0.0019,7.3355,234.73,90.25863
4.225,13.7478,31.6264,23.6327,3.9580e+02,2.5254,0.0017,7.3182,234.848,90.29974
4.304,13.7471,31.632,23.6372,3.7793e+02,2.53,0.0017,7.32,234.805,90.28546
4.387,13.7257,31.6312,23.6409,3.6391e+02,2.5102,0.0016,7.3207,235.046,90.33842
4.475,13.7263,31.633,23.6422,3.5495e+02,2.5048,0.0016,7.3027,235.107,90.36423
4.566,13.6979,31.6398,23.6532,3.4293e+02,2.5369,0.0018,7.3082,235.128,90.32446
4.658,13.701,31.6333,23.6475,3.2492e+02,2.5544,0.0018,7.3312,235.059,90.29958
4.738,13.7089,31.6318,23.6448,3.1758e+02,2.6254,0.0019,7.3239,234.623,90.14535
4.81,13.7175,31.6263,23.6388,3.0834e+02,2.6887,0.0019,7.318,234.358,90.05597
4.893,13.7172,31.6316,23.6429,2.9613e+02,2.6788,0.0019,7.3459,234.345,90.05383
4.993,13.6801,31.6458,23.6613,2.8555e+02,2.6643,0.0018,7.3484,234.497,90.05323
5.099,13.6702,31.6421,23.6605,2.7569e+02,2.6536,0.0018,7.3426,234.947,90.20563
5.185,13.6727,31.6333,23.6532,2.6514e+02,2.6277,0.0018,7.3357,235.364,90.36472
5.258,13.652,31.6468,23.6678,2.5481e+02,2.6383,0.0018,7.3292,235.843,90.51921
5.349,13.6478,31.6447,23.667,2.4675e+02,2.7009,0.0016,7.3213,236.056,90.592
5.455,13.6297,31.6458,23.6715,2.3773e+02,2.7009,0.0016,7.3181,236.039,90.55293
5.573,13.6108,31.6505,23.6789,2.2643e+02,2.7375,0.0017,7.3042,236.035,90.51951
5.672,13.6117,31.6448,23.6743,2.1811e+02,2.7375,0.0017,7.323,235.86,90.4505
5.749,13.6091,31.6468,23.6764,2.1139e+02,2.7925,0.0016,7.3447,235.593,90.34453
5.828,13.6131,31.6437,23.6732,2.0502e+02,2.7986,0.0016,7.3296,235.526,90.32435
5.93,13.6097,31.6451,23.675,1.9680e+02,2.733,0.0015,7.3225,235.894,90.45984
6.045,13.6114,31.6441,23.6739,1.8923e+02,2.7124,0.0015,7.2993,236.485,90.68926
6.148,13.6131,31.6444,23.6738,1.8241e+02,2.7368,0.0017,7.3076,236.877,90.84265
6.231,13.6027,31.6481,23.6787,1.7506e+02,2.7505,0.0017,7.3201,237.266,90.97507
